Word Length,Fraction Length,Rank,BLEU Score,Compression Ratio
16,14,250,16.16377302822756,2.3405714285714287
16,13,250,35.58390839481024,2.5206153846153847
16,12,250,39.565565012814034,2.7306666666666666
16,11,250,40.88911807659813,2.9789090909090907
16,10,250,41.34134250189455,3.2768
16,9,250,41.50832783832762,3.640888888888889
16,8,250,40.819080617410094,4.096
32,31,250,6.357631003927991,1.0570322580645162
32,30,250,16.154412329248142,1.0922666666666667
32,29,250,35.58390839481024,1.1299310344827587
32,28,250,39.53039300374824,1.1702857142857144
32,27,250,40.84752970607412,1.2136296296296296
32,26,250,41.319382297539455,1.2603076923076924
32,25,250,41.20134009309601,1.31072
32,24,250,41.20134009309601,1.3653333333333333
4,3,300,1.3290096118275514,9.102222222222222
4,2,300,1.3108605508874343,13.653333333333334
4,1,300,2.991749855444523,27.30666666666667
5,4,300,6.904661697020628,6.826666666666667
5,3,300,2.5835668240705134,9.102222222222222
5,2,300,2.156955452664616,13.653333333333334
5,1,300,2.216503689597686,27.30666666666667
6,5,300,6.480165319246585,5.461333333333333
6,4,300,11.10801486018753,6.826666666666667
6,3,300,2.570878109643019,9.102222222222222
6,2,300,2.1885845665936556,13.653333333333334
6,1,300,2.1626696565143044,27.30666666666667
7,6,300,5.526744377772036,4.551111111111111
7,5,300,16.1499703677458,5.461333333333333
7,4,300,26.79683666559122,6.826666666666667
7,3,300,4.093351444993158,9.102222222222222
7,2,300,2.0644004388708845,13.653333333333334
7,1,300,2.492314924392241,27.30666666666667
8,7,300,5.0165249877243365,3.900952380952381
8,6,300,15.981095139118304,4.551111111111111
8,5,300,32.44213979634623,5.461333333333333
8,4,300,36.179172781500284,6.826666666666667
8,3,300,6.171847328610709,9.102222222222222
8,2,300,2.0005832982310223,13.653333333333334
8,1,300,2.4350625165056172,27.30666666666667
16,15,300,6.036180881641356,1.8204444444444445
16,14,300,15.775991949593948,1.9504761904761905
16,13,300,35.808823837852024,2.1005128205128205
16,12,300,40.43615269727811,2.2755555555555556
16,11,300,38.33362990284808,2.4824242424242424
16,10,300,39.29586377268382,2.7306666666666666
16,9,300,39.550252905497004,3.034074074074074
16,8,300,39.66860176275199,3.4133333333333336
32,31,300,6.0492480519650575,0.8808602150537634
32,30,300,15.775991949593948,0.9102222222222223
32,29,300,35.808823837852024,0.9416091954022988
32,28,300,40.45749465517717,0.9752380952380952
32,27,300,38.898998040270364,1.011358024691358
32,26,300,39.24759713040375,1.0502564102564103
32,25,300,39.582923870358805,1.0922666666666667
32,24,300,39.582923870358805,1.1377777777777778
4,3,350,1.448215846032781,7.801904761904762
4,2,350,1.5172704308882734,11.702857142857143
4,1,350,2.991749855444523,23.405714285714286
5,4,350,6.684997956576617,5.851428571428571
5,3,350,2.3853216366853283,7.801904761904762
5,2,350,2.13251359494784,11.702857142857143
5,1,350,2.216503689597686,23.405714285714286
6,5,350,7.1568024170892235,4.6811428571428575
6,4,350,12.72525007526553,5.851428571428571
6,3,350,2.1006367955949843,7.801904761904762
6,2,350,1.8713899139970809,11.702857142857143
6,1,350,2.1626696565143044,23.405714285714286
7,6,350,6.376094532128071,3.900952380952381
7,5,350,16.494973648505088,4.6811428571428575
7,4,350,29.291830492342,5.851428571428571
7,3,350,4.325570204660501,7.801904761904762
7,2,350,1.967091829796704,11.702857142857143
7,1,350,2.492314924392241,23.405714285714286
8,7,350,7.707914089617366,3.3436734693877552
8,6,350,17.108210540717167,3.900952380952381
8,5,350,33.0995290917806,4.6811428571428575
8,4,350,36.920937191823846,5.851428571428571
8,3,350,5.786838064956657,7.801904761904762
8,2,350,1.8418306389968855,11.702857142857143
8,1,350,2.4350625165056172,23.405714285714286
16,15,350,6.213964618830617,1.5603809523809524
16,14,350,16.304433646911352,1.6718367346938776
16,13,350,36.181675785857564,1.8004395604395604
16,12,350,41.80875105089727,1.9504761904761905
16,11,350,39.870150660965564,2.127792207792208
16,10,350,40.57230342651521,2.3405714285714287
16,9,350,41.092464340687044,2.6006349206349206
16,8,350,40.35177365950572,2.9257142857142857
32,31,350,6.213964618830617,0.7550230414746544
32,30,350,16.68460839402558,0.7801904761904762
32,29,350,36.28027107137161,0.8070935960591133
32,28,350,41.80875105089727,0.8359183673469388
