Word Length,Fraction Length,Rank,BLEU Score,Compression Ratio
5,4,225,0.9044159197401508,7.281777777777778
5,3,225,4.857912852491105e-78,7.281777777777778
5,2,225,1.2726660344874043,7.281777777777778
5,1,225,3.2695271881922117,7.281777777777778
6,5,225,7.1487172581377125,6.068148148148148
6,4,225,4.0387549185962644e-154,6.068148148148148
6,3,225,2.5974777360426167e-154,6.068148148148148
6,2,225,0.3034547338346937,6.068148148148148
6,1,225,3.2695271881922117,6.068148148148148
7,6,225,10.109650318330834,5.201269841269841
7,5,225,6.474946953470768e-78,5.201269841269841
7,4,225,3.9702742548675335e-154,5.201269841269841
7,3,225,1.5404958577498012e-154,5.201269841269841
7,2,225,9.178457741494433e-154,5.201269841269841
7,1,225,3.2695271881922117,5.201269841269841
8,7,225,10.693735469279126,4.551111111111111
8,6,225,24.957870041539586,4.551111111111111
8,5,225,3.792324753345094e-154,4.551111111111111
8,4,225,5.5139763718747774e-154,4.551111111111111
8,3,225,2.5963419713931832e-154,4.551111111111111
8,2,225,7.13534755443544e-154,4.551111111111111
16,15,225,12.229854026846326,2.2755555555555556
16,14,225,36.849590700248164,2.2755555555555556
16,13,225,40.67992278246892,2.2755555555555556
16,12,225,40.5943728652175,2.2755555555555556
16,11,225,40.379539594950536,2.2755555555555556
16,10,225,39.50351617051971,2.2755555555555556
32,31,225,12.225818436781424,1.1377777777777778
32,30,225,36.95397005976243,1.1377777777777778
32,29,225,40.83573739218353,1.1377777777777778
32,28,225,40.59513975166639,1.1377777777777778
32,27,225,40.300289630857606,1.1377777777777778
32,26,225,40.34049792220134,1.1377777777777778
4,3,250,2.255389442408528,8.192
4,2,250,1.365385404060765,8.192
4,1,250,3.2695271881922117,8.192
5,4,250,1.125886007339432,6.5536
5,3,250,3.9502717521280115e-78,6.5536
5,2,250,1.2726660344874043,6.5536
5,1,250,3.2695271881922117,6.5536
6,5,250,8.591268262096051,5.461333333333333
6,4,250,5.469508903271029e-154,5.461333333333333
6,3,250,2.5828559146899324e-154,5.461333333333333
6,2,250,0.3069575558605064,5.461333333333333
6,1,250,3.2695271881922117,5.461333333333333
7,6,250,8.928207413615311,4.6811428571428575
7,5,250,3.379419292381297e-78,4.6811428571428575
7,4,250,5.327534389480385e-154,4.6811428571428575
7,3,250,1.4046081950494869e-154,4.6811428571428575
7,2,250,9.837971039131913e-154,4.6811428571428575
7,1,250,3.2695271881922117,4.6811428571428575
8,7,250,12.682673480775582,4.096
8,6,250,26.764158631173164,4.096
8,5,250,3.574422540162397e-154,4.096
8,4,250,3.9819963415714186e-154,4.096
8,3,250,2.5826388379738834e-154,4.096
8,2,250,8.24268861652174e-154,4.096
16,15,250,13.59980457280512,2.048
16,14,250,37.82074305984061,2.048
16,13,250,39.450954363316015,2.048
16,12,250,41.55233211842814,2.048
16,11,250,40.43526711188704,2.048
16,10,250,40.25888605008589,2.048
32,31,250,13.382221557563204,1.024
32,30,250,38.100939291941735,1.024
32,29,250,39.405767309523085,1.024
32,28,250,41.86111537159901,1.024
32,27,250,41.76852591642541,1.024
32,26,250,41.319382297539455,1.024
4,3,275,2.253367316911753,7.447272727272727
4,2,275,1.365385404060765,7.447272727272727
4,1,275,3.2695271881922117,7.447272727272727
5,4,275,0.9229043426954195,5.9578181818181815
5,3,275,5.171838224501105e-78,5.9578181818181815
5,2,275,1.2726660344874043,5.9578181818181815
5,1,275,3.2695271881922117,5.9578181818181815
6,5,275,7.716744678404256,4.964848484848485
6,4,275,5.528033566317152e-154,4.964848484848485
6,3,275,2.5532793888729973e-154,4.964848484848485
6,2,275,0.3069575558605064,4.964848484848485
6,1,275,3.2695271881922117,4.964848484848485
7,6,275,11.42299693762587,4.255584415584416
7,5,275,4.970938448833919e-154,4.255584415584416
7,4,275,5.1088911483608003e-154,4.255584415584416
7,3,275,1.52749430775205e-154,4.255584415584416
7,2,275,9.307579944264407e-154,4.255584415584416
7,1,275,3.2695271881922117,4.255584415584416
8,7,275,13.3930617266077,3.7236363636363636
8,6,275,25.320972880458303,3.7236363636363636
8,5,275,3.5355455136288595e-154,3.7236363636363636
8,4,275,4.761909391560205e-154,3.7236363636363636
8,3,275,2.601265562045355e-154,3.7236363636363636
8,2,275,9.407777393035282e-154,3.7236363636363636
16,15,275,13.28260043249351,1.8618181818181818
16,14,275,38.27483904536304,1.8618181818181818
16,13,275,39.63201063977859,1.8618181818181818
16,12,275,40.0856298912351,1.8618181818181818
16,11,275,40.54061896612397,1.8618181818181818
16,10,275,40.20567803898683,1.8618181818181818
32,31,275,13.306173562903922,0.9309090909090909
32,30,275,38.23760011017869,0.9309090909090909
