NZr,NZc,Tr,Tc,MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,Simulated Ncycles,Simulated Execution Time (s)
8,80,16,2,0.0028886563170189387,13,35204.0,17472,1040,0.4722672721375284,3.36,3.36,5.2e-06,90,1096,5.48e-06
8,88,16,2,0.00297982964122323,12,33264.0,16512,1056,0.4710178000912825,3.1272727272727274,3.1272727272727274,5.28e-06,90,1111,5.555e-06
8,96,16,2,0.0029686449686936074,12,34032.0,16896,1152,0.47163912460920054,2.933333333333333,2.933333333333333,5.76e-06,90,1207,6.035e-06
8,12,16,8,0.0029449445970943767,24,58632.0,29184,768,0.48298689262544686,7.6,4.829868926254469,6.0424e-06,120,0,0.0
8,14,16,8,0.0029354893363143855,21,52647.0,26208,672,0.48141957052848144,7.8,4.814195705284814,5.4439e-06,120,0,0.0
8,16,16,8,0.0029529554394677783,18,46278.0,23040,576,0.47930101934678593,8.0,4.793010193467859,4.807e-06,120,0,0.0
8,18,16,8,0.0029492956246522594,16,42160.0,20992,512,0.47761194029850745,8.2,4.776119402985074,4.395200000000001e-06,120,0,0.0
8,20,16,8,0.002975855984697989,14,37786.0,18816,448,0.47541563494870887,8.4,4.754156349487088,3.9578000000000005e-06,120,0,0.0
8,22,16,8,0.0029494994887744644,13,35919.0,17888,416,0.47434435575826683,8.6,4.743443557582668,3.7710999999999998e-06,120,0,0.0
8,24,16,8,0.0029686449686936074,12,33924.0,16896,384,0.47306529286594245,8.8,4.730652928659424,3.5716000000000002e-06,120,0,0.0
8,6,16,16,0.0029852543690328365,25,61037.5,30400,800,0.48384914729545836,7.6,4.838491472954583,6.28295e-06,160,0,0.0
8,7,16,16,0.002979499109132445,22,55121.0,27456,704,0.4824205366085077,7.8,4.824205366085077,5.6913e-06,160,0,0.0
8,8,16,16,0.002975571766078601,19,48820.5,24320,608,0.48051370708816993,8.0,4.805137070881699,5.06125e-06,160,0,0.0
8,9,16,16,0.0029652977843329337,17,44769.5,22304,544,0.47902236826562716,8.2,4.790223682656272,4.6561499999999995e-06,160,0,0.0
8,10,16,16,0.0029639262141219515,15,40462.5,20160,480,0.4771089469760617,8.4,4.771089469760617,4.2254499999999995e-06,160,0,0.0
8,11,16,16,0.0029986752140312937,13,35899.5,17888,416,0.4745897616173408,8.6,4.745897616173408,3.76915e-06,160,0,0.0
