NZr,NZc,Tr,Tc,MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s)
6,7,16,16,0.0029886289522429916,30,25515.0,50040,210,1.832497161899879,47.65714285714286,18.32497161899879,2.7307e-06
6,8,16,16,0.0029969860288248137,27,24691.5,48492,216,1.8310268657843563,44.9,18.31026865784356,2.6483500000000002e-06
6,9,16,16,0.0029960758648713216,24,23484.0,46176,216,1.8268713404019623,42.75555555555555,18.26871340401962,2.5276e-06
6,10,16,16,0.002960349700012023,22,22935.0,45144,220,1.8256966069478708,41.04,18.256966069478707,2.4726999999999996e-06
6,11,16,16,0.002929734206932912,20,22130.0,43600,220,1.8225900844411003,39.63636363636364,18.225900844411,2.3922e-06
6,12,16,16,0.002915630741563111,18,21069.0,41544,216,1.8172433401863435,38.46666666666667,18.172433401863437,2.2861e-06
6,3,16,32,0.0029995834924580987,37,29072.75,56980,222,1.846118954470715,51.333333333333336,18.46118954470715,3.086475e-06
6,4,16,32,0.0029890851420405723,28,25585.0,50288,168,1.8368703656353873,59.86666666666667,18.368703656353873,2.7377e-06
6,5,16,32,0.0029355757468084182,23,23960.25,47196,138,1.8326942306012095,68.4,18.326942306012096,2.575225e-06
6,6,16,32,0.002915630741563111,18,21055.5,41544,108,1.8183171025276288,76.93333333333334,18.183171025276287,2.28475e-06
6,2,16,64,0.002978281083568634,27,24661.125,48492,162,1.8331293561724749,59.86666666666667,18.33129356172475,2.6453125e-06
6,3,16,64,0.002915630741563111,18,21048.75,41544,108,1.8188544596828038,76.93333333333334,18.188544596828038,2.284075e-06
6,1,16,192,0.002915630741563111,18,21044.25,41544,108,1.8192128742678855,76.93333333333334,18.192128742678854,2.283625e-06
7,48,16,2,0.002939181165551773,21,18081.0,35028,1008,1.7625924621345543,6.95,6.95,5.04e-06
7,56,16,2,0.0029875057778537884,18,16650.0,32328,1008,1.7529552109315691,6.414285714285714,6.414285714285714,5.040000000000001e-06
7,64,16,2,0.0029259797257741357,17,16813.0,32708,1088,1.7580220370868047,6.0125,6.0125,5.44e-06
7,72,16,2,0.0029984252836728546,15,15795.0,30780,1080,1.7501563654972423,5.7,5.7,5.4e-06
