NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,Simulated Ncycles,Simulated Execution Time (s),BRAM Usage
3,72,16,2,85.17,0.0057447572250648,8,50208.0,24576,576,0.46573681018799273,6.4,4.657368101879928,5.276799999999999e-06,720,590,3.9333333333333335e-06,144
3,80,16,2,85.21,0.0054332680374514,9,61092.0,29952,720,0.4705586627285867,6.24,4.705586627285867,6.3652e-06,720,735,4.9e-06,144
3,88,16,2,85.35000000000001,0.0053903343728267,9,65700.0,32256,792,0.47254614708467624,6.109090909090909,4.725461470846763,6.826e-06,720,807,5.38e-06,144
3,96,16,2,85.33,0.0053733100908201,9,70308.0,34560,864,0.4742822638195093,6.0,4.742822638195093,7.2868e-06,720,879,5.86e-06,144
3,12,16,8,85.53,0.0059072872958844,12,56016.0,27648,144,0.47200218519530185,28.8,4.720021851953018,5.8576e-06,960,164,1.0933333333333334e-06,192
3,14,16,8,85.21,0.0056507992948506,12,62160.0,30720,168,0.4746600741656366,27.428571428571427,4.746600741656366,6.472e-06,960,188,1.2533333333333333e-06,192
3,16,16,8,85.35000000000001,0.0052728373575759,13,73996.0,36608,208,0.4781859031297351,26.4,4.781859031297351,7.6556e-06,960,229,1.5266666666666667e-06,192
3,18,16,8,85.17,0.0053652142250583,11,68244.0,33792,198,0.47726117168521554,25.6,4.772611716852156,7.0804e-06,960,217,1.4466666666666667e-06,192
3,20,16,8,85.21,0.0058025124624014,8,53728.0,26624,160,0.47299602046617395,24.96,4.729960204661739,5.6288e-06,960,176,1.1733333333333333e-06,192
3,22,16,8,85.37,0.0052498852825695,10,72280.0,35840,220,0.47888829502939606,24.436363636363637,4.788882950293961,7.483999999999999e-06,960,238,1.5866666666666666e-06,192
3,24,16,8,85.33,0.0053733100908201,9,69660.0,34560,216,0.47853780116311273,24.0,4.785378011631128,7.221999999999999e-06,960,233,1.5533333333333334e-06,192
3,6,16,16,85.6,0.0058820545642672,13,60528.0,29952,78,0.4747654070504692,57.6,4.747654070504693,6.3088e-06,1280,100,6.666666666666667e-07,256
3,7,16,16,85.14,0.0059319546878199,11,56848.0,28160,77,0.47401023431187717,54.857142857142854,4.740102343118772,5.9408e-06,1280,97,6.466666666666667e-07,256
3,8,16,16,85.27,0.0056919695947073,11,62480.0,30976,88,0.47626076260762606,52.8,4.76260762607626,6.504000000000001e-06,1280,108,7.2e-07,256
3,9,16,16,85.19,0.0056479623703789,10,61920.0,30720,90,0.47642679900744417,51.2,4.764267990074441,6.448000000000001e-06,1280,109,7.266666666666667e-07,256
3,10,16,16,85.19,0.0052798590503173,11,73744.0,36608,110,0.47976514992660935,49.92,4.7976514992660935,7.630399999999999e-06,1280,130,8.666666666666667e-07,256
3,11,16,16,85.26,0.0054907540664281,9,64944.0,32256,99,0.47783835031998106,48.872727272727275,4.7783835031998105,6.7504e-06,1280,117,7.8e-07,256
3,12,16,16,85.33,0.0053733100908201,9,69552.0,34560,108,0.479254493010872,48.0,4.79254493010872,7.2112e-06,1280,126,8.4e-07,256
3,3,16,32,85.5,0.0059890004117179,13,60450.0,29952,39,0.4753531185526107,115.2,4.753531185526107,6.301e-06,1920,62,4.1333333333333333e-07,384
3,4,16,32,85.55,0.0059268686260974,10,56740.0,28160,40,0.4748735244519393,105.6,4.748735244519393,5.93e-06,1920,60,4e-07,384
3,5,16,32,85.15,0.005907845091362,8,53584.0,26624,40,0.47420917640353377,99.84,4.7420917640353375,5.614400000000001e-06,1920,58,3.866666666666667e-07,384
3,6,16,32,85.33,0.0053733100908201,9,69498.0,34560,54,0.47961364456410116,96.0,4.796136445641012,7.2058e-06,1920,73,4.866666666666666e-07,384
3,2,16,64,85.47,0.0059233232134211,10,56710.0,28160,30,0.47511388560823353,140.8,4.751138856082335,5.927e-06,3200,50,3.3333333333333335e-07,640
3,3,16,64,85.33,0.0053733100908201,9,69471.0,34560,27,0.47979342227651983,192.0,4.797934222765198,7.2031000000000005e-06,3200,47,3.1333333333333333e-07,640
3,1,16,192,85.33,0.0053733100908201,9,69453.0,34560,27,0.4799133489786566,192.0,4.799133489786566,7.2013e-06,8320,47,3.1333333333333333e-07,1664
4,48,16,2,85.44,0.0058092276317384,7,36764.0,17920,336,0.4557013528633913,8.0,4.557013528633913,3.9324e-06,720,350,2.333333333333333e-06,144
4,56,16,2,85.17,0.0059107900508363,6,34584.0,16896,336,0.4548783114365712,7.542857142857143,4.548783114365712,3.7144e-06,720,349,2.3266666666666667e-06,144
4,64,16,2,85.47,0.0054776255267573,7,43932.0,21504,448,0.4625311881614041,7.2,4.625311881614041,4.6491999999999995e-06,720,462,3.08e-06,144
4,72,16,2,85.22999999999999,0.0056793915028299,6,40728.0,19968,432,0.4612825725374238,6.933333333333333,4.612825725374238,4.328799999999999e-06,720,445,2.9666666666666665e-06,144
4,80,16,2,85.24000000000001,0.005607558784633,6,43800.0,21504,480,0.4638481449525453,6.72,4.638481449525453,4.636e-06,720,493,3.286666666666667e-06,144
4,88,16,2,85.24000000000001,0.0055650052677109,6,46872.0,23040,528,0.4660948373523224,6.545454545454545,4.660948373523224,4.9431999999999995e-06,720,541,3.6066666666666667e-06,144
4,96,16,2,85.3,0.0055504372250172,6,49944.0,24576,576,0.4680786225811367,6.4,4.680786225811367,5.2504e-06,720,589,3.926666666666667e-06,144
4,12,16,8,85.64,0.0058205043925821,9,46620.0,23040,108,0.4684831232208215,32.0,4.684831232208214,4.918e-06,960,126,8.4e-07,192
4,14,16,8,85.48,0.0057736012169356,8,45536.0,22528,112,0.4683965402528277,30.17142857142857,4.683965402528277,4.8096e-06,960,129,8.6e-07,192
4,16,16,8,85.57000000000001,0.0055525208400292,8,49632.0,24576,128,0.47087676272225626,28.8,4.708767627222563,5.2192e-06,960,145,9.666666666666666e-07,192
4,18,16,8,85.32,0.0058901232455998,6,40296.0,19968,108,0.4659324248646631,27.73333333333333,4.659324248646631,4.285599999999999e-06,960,123,8.2e-07,192
4,20,16,8,85.35000000000001,0.0057447879532844,6,43368.0,21504,120,0.4682111130465076,26.88,4.682111130465076,4.5928e-06,960,135,9e-07,192
4,22,16,8,85.45,0.0056314853044819,6,46440.0,23040,132,0.47020408163265304,26.18181818181818,4.70204081632653,4.9000000000000005e-06,960,147,9.8e-07,192
4,24,16,8,85.3,0.0055504372250172,6,49512.0,24576,144,0.47196189890920265,25.6,4.719618989092027,5.2072e-06,960,159,1.06e-06,192
4,6,16,16,85.15,0.0059380284746844,9,46512.0,23040,54,0.46951418324095207,64.0,4.69514183240952,4.907200000000001e-06,1280,73,4.866666666666666e-07,256
4,7,16,16,85.48,0.0056892589230268,9,51120.0,25344,63,0.4721311475409836,60.34285714285714,4.721311475409836,5.368e-06,1280,82,5.466666666666667e-07,256
