NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (Ops/s),AttPerf (Ops/s),Execution Time (s)
8,88,8,2,84.84,0.005442810276908114,10,34960.0,20372,880.0,0.5429637526652452,9260000000.0,2714818763.326226,7.504e-06
8,96,8,2,85.07000000000001,0.005263278083242114,11,39864.0,22806,1056.0,0.5375730718461248,8638636363.636364,2687865359.230624,8.4848e-06
8,12,8,8,85.22999999999999,0.005840612549735471,13,36894.0,21402,156.0,0.5424545039793177,54876923076.92307,2712272519.896589,7.890799999999999e-06
8,14,8,8,85.09,0.005911071766262802,11,32626.0,19286,154.0,0.5481157278463025,50093506493.50649,2740578639.2315125,7.0372e-06
8,16,8,8,85.15,0.005755948137824899,11,34034.0,19990,176.0,0.5462644149314095,45431818181.818184,2731322074.6570477,7.318799999999999e-06
8,18,8,8,84.82,0.005742486460344984,10,32220.0,19092,180.0,0.548936170212766,42426666666.666664,2744680851.06383,6.956e-06
8,20,8,8,85.07000000000001,0.005460076031374397,11,36850.0,21398,220.0,0.5429586399391018,38905454545.454544,2714793199.695509,7.882e-06
8,22,8,8,85.11999999999999,0.00534392443492524,11,38258.0,22102,242.0,0.5414767994512225,36532231404.95868,2707383997.2561126,8.1636e-06
8,24,8,8,85.07000000000001,0.005263278083242114,11,39666.0,22806,264.0,0.5400937810827452,34554545454.545456,2700468905.413726,8.445200000000002e-06
8,6,8,16,85.1,0.0059740359153931345,13,36855.0,21402,104.0,0.5429912469871876,82315384615.38461,2714956234.935938,7.883e-06
8,7,8,16,84.93,0.005779533256362324,13,38519.0,22234,104.0,0.5412497869957886,85515384615.38461,2706248934.9789433,8.215799999999998e-06
8,8,8,16,85.09,0.00586678114476249,11,34001.0,19990,88.0,0.5467574738108913,90863636363.63637,2733787369.0544567,7.312200000000001e-06
8,9,8,16,84.99,0.005843743943800592,10,32190.0,19092,90.0,0.5494100719424461,84853333333.33333,2747050359.71223,6.95e-06
8,10,8,16,85.31,0.005682556249152372,10,33470.0,19732,100.0,0.547654732167638,78928000000.0,2738273660.83819,7.206000000000001e-06
8,11,8,16,85.06,0.005542709405326512,10,34750.0,20372,110.0,0.5460198338247119,74080000000.0,2730099169.1235595,7.462e-06
8,12,8,16,85.07000000000001,0.005263278083242114,11,39633.0,22806,132.0,0.5405161993695636,69109090909.09091,2702580996.8478184,8.438599999999999e-06
8,3,8,32,85.49,0.005938075421212994,14,39669.0,22812,112.0,0.5401974946127069,81471428571.42857,2700987473.0635347,8.4458e-06
8,4,8,32,85.39,0.005763372041710546,12,37074.0,21528,96.0,0.5431700055507898,89700000000.0,2715850027.7539487,7.9268e-06
8,5,8,32,85.24000000000001,0.005708881851773822,10,33455.0,19732,80.0,0.5478828266000277,98660000000.0,2739414133.0001388,7.203e-06
8,6,8,32,85.07000000000001,0.005263278083242114,11,39616.5,22806,88.0,0.5407276563963345,103663636363.63637,2703638281.9816723,8.4353e-06
8,2,8,64,85.11999999999999,0.005583152013007547,13,40153.75,23066,104.0,0.5400134617072957,88715384615.38461,2700067308.5364785,8.542749999999999e-06
8,3,8,64,85.07000000000001,0.005263278083242114,11,39608.25,22806,88.0,0.5408334469654301,103663636363.63637,2704167234.827151,8.43365e-06
8,1,8,192,85.07000000000001,0.005263278083242114,11,39602.75,22806,88.0,0.5409039970115801,103663636363.63637,2704519985.0579004,8.432550000000001e-06
2,48,16,2,84.88,0.005493437274192684,29,53012.0,29114,1392.0,0.5238969265097531,8366091954.022988,2619484632.548765,1.1114400000000002e-05
2,56,16,2,84.81,0.005907952612968302,19,37164.0,21350,1064.0,0.5374584633974423,8026315789.473683,2687292316.9872117,7.9448e-06
2,64,16,2,85.08,0.005580076783887418,22,45848.0,25644,1408.0,0.529747149231532,7285227272.727273,2648735746.15766,9.681599999999999e-06
2,72,16,2,84.86,0.005711176175279206,19,42028.0,23782,1368.0,0.5333722077689065,6953801169.590643,2666861038.8445325,8.917599999999999e-06
2,80,16,2,85.41,0.0054162067318412515,22,51480.0,28460,1760.0,0.5266469282013323,6468181818.181819,2633234641.0066614,1.0808e-05
2,88,16,2,85.11,0.005819270357868962,17,41956.0,23778,1496.0,0.5341450265073232,6357754010.695188,2670725132.536616,8.903200000000001e-06
2,96,16,2,84.91,0.005990654480659925,15,38940.0,22302,1440.0,0.5373975903614457,6195000000.0,2686987951.8072286,8.300000000000002e-06
2,12,16,8,85.54,0.005991561619376499,27,48870.0,27318,324.0,0.5311685786505931,33725925925.925922,2655842893.2529655,1.0286e-05
2,14,16,8,84.82,0.005968195029891179,24,46512.0,26160,336.0,0.5330942288881644,31142857142.857143,2665471144.440822,9.814399999999999e-06
2,16,16,8,84.84,0.005937690741115659,21,43386.0,24618,336.0,0.5358028990554129,29307142857.142857,2679014495.2770643,9.1892e-06
2,18,16,8,84.81,0.005701437184884715,22,48268.0,27052,396.0,0.5322263319430235,27325252525.25252,2661131659.7151175,1.0165600000000001e-05
2,20,16,8,84.83000000000001,0.005126920260135459,30,69660.0,37692,600.0,0.5219052893935198,25128000000.0,2609526446.967599,1.4444000000000001e-05
2,22,16,8,85.11999999999999,0.0059494879793912,16,39200.0,22560,352.0,0.5402298850574713,25636363636.363636,2701149425.2873564,8.352e-06
2,24,16,8,84.91,0.005990654480659925,15,38670.0,22302,360.0,0.5409168081494058,24780000000.0,2704584040.747029,8.246e-06
2,6,16,16,85.0,0.005980020467343762,30,54210.0,30012,180.0,0.5286595032587634,66693333333.33333,2643297516.293817,1.1354e-05
2,7,16,16,84.81,0.005730950954029888,30,58050.0,31932,210.0,0.5268437551559149,60822857142.85714,2634218775.7795744,1.2122e-05
2,8,16,16,84.85000000000001,0.005387127172515967,33,68079.0,36930,264.0,0.5227990203711831,55954545454.54545,2613995101.8559155,1.4127799999999999e-05
2,9,16,16,84.84,0.005929834336655562,20,43820.0,24872,180.0,0.536265631737818,55271111111.111115,2681328158.6890903,9.275999999999999e-06
2,10,16,16,85.28999999999999,0.005928643351907282,18,41742.0,23844,180.0,0.5382149790077198,52986666666.666664,2691074895.0385985,8.8604e-06
2,11,16,16,85.06,0.0055056269963424265,22,53834.0,29868,242.0,0.5296308117884881,49368595041.32232,2648154058.9424405,1.1278800000000001e-05
2,12,16,16,84.91,0.005990654480659925,15,38625.0,22302,180.0,0.5415078305208206,49560000000.0,2707539152.604103,8.237000000000001e-06
2,3,16,32,85.08,0.005846864512348095,34,61387.0,33604,102.0,0.5254976777643986,131780392156.86275,2627488388.821993,1.2789400000000002e-05
2,4,16,32,85.05,0.005574731090425099,30,61845.0,33852,120.0,0.5256113655772068,112840000000.00002,2628056827.886034,1.2881e-05
2,5,16,32,84.89999999999999,0.005973496517968048,18,41715.0,23844,90.0,0.5385431959345003,105973333333.33333,2692715979.6725016,8.854999999999999e-06
2,6,16,32,84.91,0.005990654480659925,15,38602.5,22302,90.0,0.5418038262982083,99120000000.0,2709019131.4910417,8.2325e-06
2,2,16,64,85.15,0.00570588582331241,27,55640.25,30774,54.0,0.5287606152894532,227955555555.55557,2643803076.447266,1.164005e-05
2,3,16,64,84.91,0.005990654480659925,15,38591.25,22302,45.0,0.5419519455666596,198240000000.0,2709759727.833298,8.23025e-06
2,1,16,192,84.91,0.005990654480659925,15,38583.75,22302,30.0,0.5420507367461643,297360000000.0,2710253683.7308216,8.22875e-06
3,48,16,2,84.85000000000001,0.005717063486098267,16,37440.0,21536,768.0,0.5384,11216666666.666668,2692000000.0,8e-06
3,56,16,2,85.13,0.005740169741911438,14,34552.0,20124,784.0,0.542250485018323,10267346938.77551,2711252425.0916147,7.4223999999999994e-06
3,64,16,2,84.92,0.005982726710307485,11,28556.0,17174,704.0,0.5519346959763466,9757954545.454546,2759673479.881733,6.2232e-06
3,72,16,2,84.98,0.005530711558662254,14,38136.0,21916,1008.0,0.5385295852172204,8696825396.825396,2692647926.086102,8.1392e-06
3,80,16,2,84.85000000000001,0.005579411989788681,13,37076.0,21402,1040.0,0.5399636693914623,8231538461.538462,2699818346.9573116,7.9272e-06
3,88,16,2,85.16,0.005425062551496551,14,41720.0,23708,1232.0,0.5354110207768744,7697402597.402597,2677055103.884372,8.856e-06
3,96,16,2,84.93,0.005660600012599852,12,37296.0,21528,1152.0,0.5401445202729828,7475000000.0,2700722601.364914,7.9712e-06
