NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,BRAM Usage,Simulated Ncycles,Simulated Execution Time (s)
8,6,4,32,85.25,0.0058435758475434,29,53055.5,104168,232,1.8730030297309204,67.35,18.730030297309202,5.56155e-06,512,96,274,1.8266666666666666e-06
8,3,4,64,85.25,0.0058435758475434,29,53033.75,104168,232,1.87373580663294,67.35,18.7373580663294,5.559375e-06,832,160,272,1.8133333333333333e-06
12,48,4,2,85.15,0.0053701234076651,40,48480.0,92480,1920,1.811912225705329,7.225,7.225,1.28e-05,212,36,1975,1.3166666666666667e-05
12,56,4,2,85.46000000000001,0.0059610925251236,24,32160.0,61632,1344,1.7751152073732719,6.878571428571428,6.878571428571428,8.96e-06,212,36,1383,9.22e-06
12,64,4,2,85.61999999999999,0.0059719484906743,22,32296.0,62128,1408,1.782419095708056,6.61875,6.61875,9.386666666666666e-06,212,36,1445,9.633333333333333e-06
12,72,4,2,85.63,0.005957935383146,21,33516.0,64680,1512,1.792881694201131,6.416666666666667,6.416666666666667,1.008e-05,212,36,1548,1.032e-05
12,80,4,2,85.18,0.0059748800365535,20,34480.0,66720,1600,1.8012958963282937,6.255,6.255,1.0666666666666666e-05,212,36,1635,1.09e-05
12,88,4,2,85.21,0.0058711454615703,21,38892.0,75432,1848,1.8197433175721316,6.122727272727273,6.122727272727273,1.232e-05,212,36,1884,1.256e-05
12,96,4,2,85.3,0.0053678150976072,29,57420.0,111592,2784,1.860486828942981,6.0125,6.0125,1.856e-05,212,36,2828,1.8853333333333335e-05
12,12,4,8,85.33,0.0059824016034812,35,41790.0,80920,420,1.824577226606539,28.9,18.24577226606539,4.435e-06,272,48,472,3.1466666666666665e-06
12,16,4,8,85.41,0.0055372089815135,36,52200.0,101664,576,1.8565376186997808,26.475,18.56537618699781,5.476e-06,272,48,629,4.1933333333333336e-06
12,18,4,8,85.3,0.0059163090188271,25,39450.0,77000,450,1.832896929302547,25.666666666666668,18.32896929302547,4.201e-06,272,48,492,3.28e-06
12,20,4,8,85.41,0.0059918044562148,22,37532.0,73392,440,1.8305896438192157,25.02,18.305896438192157,4.0092000000000005e-06,272,48,479,3.1933333333333334e-06
12,22,4,8,85.15,0.0057221889651475,24,44016.0,86208,528,1.8509103400893163,24.490909090909092,18.509103400893164,4.6576e-06,272,48,569,3.793333333333333e-06
12,24,4,8,85.3,0.0053678150976072,29,56898.0,111592,696,1.8768206128695886,24.05,18.768206128695887,5.9458e-06,272,48,742,4.946666666666667e-06
12,6,4,16,85.3,0.0059786390069826,37,44067.0,85544,444,1.8346451626739873,28.9,18.34645162673987,4.662699999999999e-06,352,64,493,3.286666666666667e-06
12,8,4,16,85.17,0.0059524383067746,29,41963.0,81896,348,1.839408844866698,35.3,18.39408844866698,4.4523000000000006e-06,352,64,391,2.6066666666666666e-06
12,10,4,16,85.21,0.0056500643580026,28,47684.0,93408,336,1.859087652256986,41.7,18.590876522569857,5.0244000000000005e-06,352,64,380,2.5333333333333334e-06
12,11,4,16,85.16,0.0058954343033181,22,40282.0,79024,264,1.844545072592316,44.9,18.44545072592316,4.2841999999999996e-06,352,64,303,2.02e-06
