NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage
8,88,4,2,85.22,0.0054166906732794,14,68128.0,49776,1232.0,0.7041647804436396,16.16103896103896,7.041647804436396,7.0688e-06,360
8,96,4,2,85.21,0.0055933743099404,13,66846.0,49768,1248.0,0.7170561622914445,15.951282051282051,7.1705616229144455,6.940599999999999e-06,360
8,12,4,8,85.44,0.0059034886629764,19,52825.0,42136,228.0,0.7607836056694051,73.92280701754386,7.607836056694051,5.5385e-06,648
8,14,4,8,85.55,0.0059142643149625,16,51059.0,40064,224.0,0.7471978216676924,71.54285714285714,7.471978216676924,5.3618999999999994e-06,648
8,16,4,8,85.2,0.00492669035434,24,89133.0,64704,384.0,0.7056591015671861,67.4,7.056591015671861,9.1693e-06,648
8,18,4,8,85.56,0.0051329681920508,18,79984.0,53904,324.0,0.6530335336305485,66.54814814814814,6.530335336305485,8.254400000000002e-06,648
8,22,4,8,85.18,0.0048499259076656,19,92678.0,66456,418.0,0.6977886977886978,63.59425837320574,6.977886977886978,9.523799999999998e-06,648
8,24,4,8,85.21,0.0055933743099404,13,66189.0,49768,312.0,0.7239087113994386,63.80512820512821,7.239087113994386,6.8749e-06,648
8,6,4,16,85.25,0.0059867786301443,20,52190.0,44192,160.0,0.8071598173515981,110.48,8.071598173515982,5.475e-06,1032
8,7,4,16,85.24000000000001,0.0058936408381081,17,55017.0,42376,136.0,0.7359883286729075,124.63529411764704,7.359883286729075,5.757700000000001e-06,1032
8,8,4,16,85.32,0.0054570705143913,20,70781.5,54432,160.0,0.7421718944935678,136.08,7.421718944935678,7.33415e-06,1032
8,9,4,16,85.19,0.0049362858067627,22,91971.5,65200,198.0,0.689717184219017,131.7171717171717,6.897171842190169,9.45315e-06,1032
8,10,4,16,85.31,0.0050809171158843,19,83158.5,61592,190.0,0.7185380052147436,129.66736842105263,7.185380052147437,8.571849999999998e-06,1032
8,11,4,16,85.21,0.005976735197937,11,51317.5,39768,121.0,0.7381188807943947,131.46446280991736,7.381188807943947,5.38775e-06,1032
8,12,4,16,85.21,0.0055933743099404,13,66079.5,49768,156.0,0.7250635566984025,127.61025641025644,7.250635566984025,6.86395e-06,1032
8,3,4,32,85.18,0.0059681002781161,20,55203.5,44192,160.0,0.7650505942333826,110.48,7.650505942333826,5.77635e-06,1800
8,4,4,32,85.52,0.0059655065982145,16,53217.5,44160,128.0,0.7917170902245529,138.0,7.917170902245529,5.57775e-06,1800
8,5,4,32,85.47,0.0050246355477058,20,88505.5,64672,160.0,0.7101701522530486,161.68,7.101701522530486,9.106550000000002e-06,1800
8,6,4,32,85.21,0.0055933743099404,13,66024.75,49768,112.0,0.7256423621869293,177.74285714285713,7.256423621869294,6.858475e-06,1800
8,2,4,64,85.46000000000001,0.0058864169687393,17,55788.25,46728,136.0,0.8008466406447494,137.43529411764706,8.008466406447495,5.834825e-06,3336
8,3,4,64,85.21,0.0055933743099404,13,65997.375,49768,112.0,0.7259321116072487,177.74285714285713,7.259321116072487,6.8557375e-06,3336
8,1,4,192,85.21,0.0055933743099404,13,65979.125,49768,112.0,0.7261254064740394,177.74285714285713,7.261254064740395,6.853912500000001e-06,9480
12,48,4,2,85.47,0.0055238185399401,14,43518.0,35440,672.0,0.7691306046269369,21.095238095238095,7.69130604626937,4.6078e-06,360
12,56,4,2,85.38,0.0055073042302276,13,44234.0,36456,728.0,0.7790742402872163,20.03076923076923,7.790742402872163,4.6794e-06,360
12,64,4,2,85.53,0.0053763530266545,13,48522.0,39784,832.0,0.7788262010101406,19.126923076923077,7.788262010101405,5.1082e-06,360
