NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (Ops/s),AttPerf (Ops/s),Execution Time (s)
24,5,2,32,85.28,0.005787128384334878,7,47082.0,26424,224.0,0.5322912050280005,47185714285.71429,2661456025.1400027,9.9284e-06
24,6,2,32,85.85000000000001,0.005470980741319256,7,54250.0,30008,224.0,0.5282168632283049,53585714285.71429,2641084316.1415243,1.1362e-05
24,2,2,64,85.35000000000001,0.005548345509430518,10,56990.0,31312,240.0,0.5258102434928631,52186666666.666664,2629051217.4643154,1.1910000000000001e-05
24,3,2,64,85.85000000000001,0.005470980741319256,7,54229.0,30008,224.0,0.5284121925020691,53585714285.71429,2642060962.5103455,1.13578e-05
24,1,2,192,85.85000000000001,0.005470980741319256,7,54215.0,30008,224.0,0.5285424922941435,53585714285.71429,2642712461.4707174,1.1355e-05
32,48,2,2,85.37,0.005885941229545086,7,36960.0,21048,336.0,0.5325910931174089,25057142857.142857,2662955465.5870447,7.904e-06
32,56,2,2,85.54,0.005702174521689538,7,40544.0,22840,392.0,0.5298812175204157,23306122448.97959,2649406087.6020784,8.6208e-06
32,64,2,2,85.48,0.005553032555238878,7,44128.0,24632,448.0,0.5275873886223441,21992857142.857143,2637936943.1117206,9.337599999999998e-06
32,72,2,2,85.52,0.005447579148461364,7,47712.0,26424,504.0,0.5256206238064927,20971428571.428574,2628103119.032463,1.0054400000000002e-05
32,80,2,2,85.72,0.005372444373282763,7,51296.0,28216,560.0,0.5239156268568034,20154285714.285713,2619578134.284017,1.0771199999999998e-05
32,88,2,2,85.7,0.0053290486121301914,7,54880.0,30008,616.0,0.5224233983286908,19485714285.714287,2612116991.643454,1.1487999999999999e-05
32,96,2,2,85.76,0.00531443451849288,7,58464.0,31800,672.0,0.5211064499213425,18928571428.571426,2605532249.6067123,1.2204799999999999e-05
32,12,2,8,85.26,0.005857044127727846,9,46872.0,26184,288.0,0.5296973620326914,36366666666.66667,2648486810.163457,9.886399999999999e-06
32,14,2,8,85.6,0.0058388453129956976,8,45760.0,25664,256.0,0.5311258278145695,40100000000.0,2655629139.0728474,9.664000000000001e-06
32,16,2,8,85.57000000000001,0.005876247095746837,7,43624.0,24632,224.0,0.5333448813441884,43985714285.71429,2666724406.720942,9.236800000000001e-06
32,18,2,8,85.59,0.005691909620465938,7,47208.0,26424,224.0,0.5309435782028613,47185714285.71429,2654717891.0143065,9.953599999999999e-06
32,20,2,8,85.5,0.005534284799566871,7,50792.0,28216,224.0,0.5288648972859499,50385714285.71429,2644324486.4297495,1.06704e-05
32,22,2,8,85.66,0.005402316109439401,7,54376.0,30008,224.0,0.527047913446677,53585714285.71429,2635239567.233385,1.1387199999999998e-05
32,24,2,8,85.76,0.00531443451849288,7,57960.0,31800,224.0,0.5254461335095836,56785714285.71429,2627230667.547918,1.2104000000000001e-05
32,6,2,16,85.00999999999999,0.00596433704253998,9,46764.0,26184,288.0,0.5308571891979563,36366666666.66667,2654285945.989782,9.8648e-06
32,7,2,16,85.38,0.005718409351189521,9,51372.0,28488,288.0,0.5282207223911592,39566666666.66667,2641103611.9557962,1.07864e-05
32,8,2,16,84.89999999999999,0.005958729150403517,7,43540.0,24632,224.0,0.5343167028199566,43985714285.71429,2671583514.099783,9.22e-06
32,9,2,16,85.2,0.005765251761844514,7,47124.0,26424,224.0,0.5318412366154094,47185714285.71429,2659206183.077047,9.9368e-06
32,10,2,16,85.72999999999999,0.005592175341751389,7,50708.0,28216,224.0,0.5296988811293835,50385714285.71429,2648494405.6469173,1.06536e-05
32,11,2,16,85.81,0.005440226751311456,7,54292.0,30008,224.0,0.5278266375853092,53585714285.71429,2639133187.926546,1.13704e-05
32,12,2,16,85.76,0.00531443451849288,7,57876.0,31800,224.0,0.5261764511218479,56785714285.71429,2630882255.609239,1.2087200000000002e-05
32,3,2,32,85.21,0.005699062408794232,11,57090.0,31320,352.0,0.5250628667225482,35590909090.909096,2625314333.612741,1.193e-05
32,4,2,32,85.2,0.005776703682917437,8,49712.0,27712,256.0,0.5301499846954393,43300000000.0,2650749923.477196,1.04544e-05
