NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,Simulated Ncycles,Simulated Execution Time (s),BRAM Usage
8,4,4,32,85.21,0.0057499510089742,28,56815.25,71904,224,1.2110096378541564,48.15,12.110096378541563,5.937525e-06,1440,263,1.7533333333333334e-06,288
8,5,4,32,85.22,0.0057624727203994,23,53917.75,70840,184,1.254299259442878,57.75,12.542992594428778,5.647775e-06,1440,219,1.46e-06,288
8,6,4,32,85.19,0.0056229447236779,22,59122.75,79024,176,1.2811361361158509,67.35,12.811361361158509,6.168275e-06,1440,211,1.4066666666666666e-06,288
12,48,4,2,85.6,0.0059684909606391,17,31814.0,39304,816,1.1434223541048467,7.225,7.225,5.44e-06,240,848,5.653333333333333e-06,48
12,56,4,2,85.24000000000001,0.005517175623931,21,42528.0,53928,1176,1.1960610361958837,6.878571428571428,6.878571428571428,7.840000000000001e-06,240,1212,8.08e-06,48
12,64,4,2,85.46000000000001,0.0057206372851167,17,37880.0,48008,1088,1.1871414441147379,6.61875,6.61875,7.253333333333333e-06,240,1120,7.466666666666667e-06,48
12,72,4,2,85.27,0.0057164755019622,17,39644.0,52360,1224,1.240640697564212,6.416666666666667,6.416666666666667,8.16e-06,240,1256,8.373333333333333e-06,48
12,80,4,2,85.32,0.0054713262831336,18,47106.0,60048,1440,1.2090363629042,6.255,6.255,9.6e-06,240,1473,9.82e-06,48
12,88,4,2,85.31,0.0054625879881239,18,49716.0,64656,1584,1.2368199556201698,6.122727272727273,6.122727272727273,1.056e-05,240,1617,1.078e-05,48
12,96,4,2,85.38,0.0050850048994111,22,65962.0,84656,2112,1.2354572254166545,6.0125,6.0125,1.408e-05,240,2149,1.4326666666666666e-05,48
12,12,4,8,85.24000000000001,0.0055390058350546,28,52024.0,64736,336,1.1859885680785578,28.9,11.859885680785577,5.458400000000001e-06,480,381,2.54e-06,96
12,14,4,8,85.32,0.005950983216003,20,38695.0,51360,280,1.2449400072718457,27.514285714285712,12.449400072718458,4.1255e-06,480,317,2.113333333333333e-06,96
