NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,Simulated Ncycles,Simulated Execution Time (s)
4,80,16,2,81.81818181818183,0.0055435162321605,26,43784.0,21658,2080,0.4752062489029314,1.561875,1.561875,1.3866666666666667e-05,90,2113,1.4086666666666667e-05
4,88,16,2,81.56565656565657,0.0053555235735786,27,47196.0,23355,2376,0.4767494080182902,1.4744318181818183,1.4744318181818183,1.5839999999999997e-05,90,2410,1.6066666666666666e-05
4,96,16,2,81.81818181818183,0.004965445358123,32,57984.0,28704,3072,0.4801927194860814,1.4015625,1.4015625,2.048e-05,90,3111,2.074e-05
5,80,16,2,82.07070707070707,0.0053403966677252,23,44620.0,22103,1840,0.476234594501422,1.801875,1.801875,1.2266666666666667e-05,90,1871,1.2473333333333333e-05
5,88,16,2,82.07070707070707,0.0053757977594877,22,44088.0,21846,1936,0.47615518744551005,1.6926136363636362,1.6926136363636362,1.2906666666666668e-05,90,1966,1.3106666666666666e-05
5,96,16,2,81.56565656565657,0.0043581960639836,35,72380.0,35875,3360,0.48367308418271043,1.6015625,1.6015625,2.24e-05,90,3403,2.2686666666666667e-05
6,80,16,2,81.56565656565657,0.0043602540995691,30,65880.0,32670,2400,0.4827698309492848,2.041875,2.041875,1.6e-05,90,2439,1.626e-05
6,88,16,2,81.56565656565657,0.0040206317668931,34,76840.0,38114,2992,0.4847136026045376,1.9107954545454544,1.9107954545454544,1.9946666666666667e-05,90,3035,2.0233333333333335e-05
6,96,16,2,82.07070707070707,0.0039205266617051,35,81340.0,40355,3360,0.48543280565847086,1.8015625,1.8015625,2.24e-05,90,3404,2.2693333333333332e-05
6,12,16,8,81.56565656565657,0.0052230754723185,37,71447.0,35557,888,0.4854927019757233,6.00625,4.854927019757233,7.3238999999999995e-06,120,924,6.16e-06
7,80,16,2,81.56565656565657,0.0045149496418255,22,53944.0,26774,1760,0.48037175254772496,2.281875,2.281875,1.1733333333333333e-05,90,1792,1.1946666666666667e-05
7,88,16,2,81.56565656565657,0.0052286427384882,15,37740.0,18735,1320,0.4739198623899626,2.128977272727273,2.128977272727273,8.799999999999999e-06,90,1345,8.966666666666667e-06
7,96,16,2,82.07070707070707,0.0049373854164479,17,43860.0,21777,1632,0.47702181722597037,2.0015625,2.0015625,1.088e-05,90,1659,1.106e-05
8,80,16,2,82.57575757575758,0.0048985807374301,15,40620.0,20175,1200,0.4756908422144676,2.521875,2.521875,8e-06,90,1226,8.173333333333334e-06
8,88,16,2,82.07070707070707,0.004982880185141,14,38808.0,19278,1232,0.4748275862068966,2.347159090909091,2.347159090909091,8.213333333333333e-06,90,1257,8.38e-06
8,96,16,2,82.07070707070707,0.0049566867847451,14,39704.0,19726,1344,0.47537112010796223,2.2015625,2.2015625,8.96e-06,90,1369,9.126666666666667e-06
8,12,16,8,81.81818181818183,0.0054662365805752,22,53746.0,26774,704,0.48208433865101374,5.7046875,4.820843386510138,5.553799999999999e-06,120,719,4.793333333333334e-06
2,88,32,2,81.56565656565657,0.0043568847216804,47,82062.0,40655,4136,0.4848307773034083,1.4744318181818183,1.4744318181818183,2.7573333333333332e-05,170,4188,2.792e-05
2,96,32,2,82.57575757575758,0.0045491088997431,41,74210.0,36777,3936,0.483895160653667,1.4015625,1.4015625,2.624e-05,170,3982,2.6546666666666668e-05
3,80,32,2,81.56565656565657,0.0042303445216516,33,72402.0,35937,2640,0.48436531255896703,2.041875,2.041875,1.76e-05,170,2679,1.786e-05
3,88,32,2,82.32323232323232,0.0041493972496198,33,74514.0,36993,2904,0.4847980499567531,1.9107954545454544,1.9107954545454544,1.936e-05,170,2943,1.962e-05
3,96,32,2,81.81818181818183,0.00412456204464,33,76626.0,38049,3168,0.4852074778749777,1.8015625,1.8015625,2.112e-05,170,3207,2.138e-05
3,12,32,8,82.07070707070707,0.0057174795514445,31,59799.0,29791,372,0.4836907989803705,12.0125,4.836907989803705,6.1591e-06,200,411,2.74e-06
4,80,32,2,82.57575757575758,0.0048985807374301,15,40590.0,20175,1200,0.47602755886933135,2.521875,2.521875,8e-06,170,1222,8.146666666666666e-06
4,88,32,2,82.07070707070707,0.004982880185141,14,38780.0,19278,1232,0.4751552795031056,2.347159090909091,2.347159090909091,8.213333333333333e-06,170,1253,8.353333333333334e-06
4,96,32,2,82.07070707070707,0.0049566867847451,14,39676.0,19726,1344,0.4756920999324781,2.2015625,2.2015625,8.96e-06,170,1365,9.1e-06
4,12,32,8,81.81818181818183,0.0054662365805752,22,53702.0,26774,352,0.48246657296284284,11.409375,4.824665729628428,5.5494e-06,200,379,2.5266666666666665e-06
32,14,2,8,81.56565656565657,0.0054421166214901,29,43819.0,21373,3712,0.4685931025410537,0.863671875,0.863671875,2.4746666666666668e-05,50,3664,2.4426666666666668e-05
32,16,2,8,81.56565656565657,0.0052712066657975,28,44100.0,21532,3584,0.46918852959121415,0.901171875,0.901171875,2.3893333333333337e-05,50,3537,2.358e-05
