NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,Simulated Ncycles,Simulated Execution Time (s)
12,64,8,2,82.07070707070707,0.005231287196483,21,51296.0,37716,1344,0.7104430379746836,4.209375,4.209375,8.96e-06,200,1380,9.2e-06
12,72,8,2,81.81818181818183,0.0049095867599336,22,58792.0,42328,1584,0.698666314538492,4.008333333333333,4.008333333333333,1.0560000000000002e-05,200,1621,1.0806666666666666e-05
14,48,8,2,82.07070707070707,0.0047095955500871,29,63068.0,48372,1392,0.745790934320074,5.2125,5.2125,9.28e-06,200,1438,9.586666666666667e-06
14,56,8,2,82.57575757575758,0.0052884354338106,20,45820.0,35920,1120,0.754431655885071,4.810714285714285,4.810714285714285,7.4666666666666675e-06,200,1157,7.713333333333333e-06
14,64,8,2,82.32323232323232,0.0054793857426759,18,41196.0,34632,1152,0.8056201730715549,4.509375,4.509375,7.68e-06,200,1187,7.913333333333333e-06
14,72,8,2,83.08080808080808,0.0053320863804675,17,44906.0,34884,1224,0.7470127200308364,4.275,4.275,8.16e-06,200,1258,8.386666666666667e-06
16,48,8,2,81.81818181818183,0.0051366805063912,22,51312.0,39512,1056,0.7440494124736367,5.6125,5.6125,7.04e-06,200,1097,7.313333333333333e-06
16,56,8,2,81.56565656565657,0.0052165051310707,18,46066.0,34632,1008,0.7236407706130636,5.1535714285714285,5.1535714285714285,6.72e-06,200,1045,6.966666666666666e-06
16,64,8,2,81.56565656565657,0.0051797521157046,18,46998.0,36936,1152,0.7570403771264603,4.809375,4.809375,7.68e-06,200,1189,7.926666666666666e-06
16,72,8,2,82.07070707070707,0.0050830062739272,17,48760.0,37060,1224,0.7331065041937015,4.541666666666667,4.541666666666667,8.16e-06,200,1260,8.4e-06
32,80,2,2,81.56565656565657,0.0051653026413676,21,51632.0,37716,1680,0.7059748427672956,3.3675,3.3675,1.12e-05,80,1736,1.1573333333333333e-05
32,88,2,2,81.81818181818183,0.0054904261939467,19,47344.0,36556,1672,0.7439759036144579,3.2795454545454543,3.2795454545454543,1.1146666666666668e-05,80,1726,1.1506666666666666e-05
32,96,2,2,81.56565656565657,0.0040773147676903,31,91324.0,63612,2976,0.6831479015421624,3.20625,3.20625,1.984e-05,80,3042,2.028e-05
32,12,2,8,82.57575757575758,0.0059447678179961,28,47320.0,35952,896,0.7320410490307868,6.01875,6.01875,5.973333333333334e-06,200,941,6.273333333333333e-06
40,80,2,2,81.81818181818183,0.0053033870545969,18,45368.0,34632,1440,0.7343511450381679,3.6075,3.6075,9.6e-06,80,1501,1.0006666666666667e-05
40,88,2,2,82.07070707070707,0.0054941610555611,17,43076.0,34884,1496,0.7774806097887136,3.4977272727272726,3.4977272727272726,9.973333333333333e-06,80,1556,1.0373333333333333e-05
40,96,2,2,81.81818181818183,0.0051188600458315,19,52380.0,41420,1824,0.7646016392232149,3.40625,3.40625,1.216e-05,80,1886,1.2573333333333334e-05
40,12,2,8,82.57575757575758,0.0059419333651221,25,44015.0,35300,1000,0.7706245770297117,5.295,5.295,6.666666666666667e-06,200,1042,6.9466666666666665e-06
48,80,2,2,82.82828282828282,0.0052581229411286,17,43076.0,34884,1360,0.7774806097887136,3.8475,3.8475,9.066666666666666e-06,80,1428,9.52e-06
48,88,2,2,81.81818181818183,0.0054216431903854,16,41252.0,34880,1408,0.810333612117833,3.715909090909091,3.715909090909091,9.386666666666666e-06,80,1475,9.833333333333333e-06
48,96,2,2,81.56565656565657,0.0051577632982545,17,49496.0,39236,1632,0.7650132584620184,3.60625,3.60625,1.088e-05,80,1700,1.1333333333333334e-05
48,12,2,8,82.82828282828282,0.005986471030843,23,41655.0,35420,1104,0.8152461619904712,4.8125,4.8125,7.36e-06,200,1144,7.626666666666667e-06
56,80,2,2,81.81818181818183,0.0048295904974884,18,52364.0,39240,1440,0.7245734544648792,4.0875,4.0875,9.6e-06,80,1517,1.0113333333333334e-05
56,88,2,2,82.07070707070707,0.0051003464757982,17,47152.0,39236,1496,0.8016508662961752,3.934090909090909,3.934090909090909,9.973333333333333e-06,80,1572,1.048e-05
56,96,2,2,82.07070707070707,0.0050254533058225,17,50948.0,41412,1632,0.7852104664391354,3.80625,3.80625,1.088e-05,80,1708,1.1386666666666667e-05
56,12,2,8,81.56565656565657,0.0056268499330957,24,50964.0,40032,1344,0.7588141633179164,4.467857142857143,4.467857142857143,8.959999999999999e-06,200,1385,9.233333333333334e-06
64,80,2,2,81.81818181818183,0.0050449383515331,17,49496.0,39236,1360,0.7650132584620184,4.3275,4.3275,9.066666666666667e-06,80,1444,9.626666666666667e-06
64,88,2,2,81.56565656565657,0.0044231198619819,21,64608.0,51156,1848,0.770421686746988,4.152272727272728,4.152272727272728,1.2319999999999996e-05,80,1936,1.2906666666666666e-05
64,96,2,2,82.57575757575758,0.0048198672908502,18,57488.0,46152,1728,0.7785425101214575,4.00625,4.00625,1.1520000000000002e-05,80,1813,1.2086666666666667e-05
64,12,2,8,81.56565656565657,0.0049760102911532,29,73024.0,52084,1856,0.69616124893071,4.209375,4.209375,1.2373333333333334e-05,200,1902,1.268e-05
16,80,4,2,81.81818181818183,0.0040612755849919,36,97248.0,64656,2880,0.652827140549273,3.3675,3.3675,1.92e-05,120,2935,1.9566666666666667e-05
16,88,4,2,81.81818181818183,0.0049971487364759,26,67760.0,50024,2288,0.7192316540142627,3.2795454545454543,3.2795454545454543,1.5253333333333334e-05,120,2333,1.5553333333333332e-05
16,96,4,2,82.82828282828282,0.0049102464813203,26,73216.0,53352,2496,0.7112841296928327,3.20625,3.20625,1.664e-05,120,2541,1.694e-05
16,12,4,8,81.56565656565657,0.0054289095324898,41,72473.0,52644,656,0.7088668955766512,12.0375,7.0886689557665115,7.4265e-06,240,714,4.76e-06
20,80,4,2,83.58585858585859,0.005202100372836,21,52064.0,40404,1680,0.750222816399287,3.6075,3.6075,1.12e-05,120,1724,1.1493333333333334e-05
20,88,4,2,81.56565656565657,0.0059376456853778,16,39776.0,32832,1408,0.789838337182448,3.4977272727272726,3.4977272727272726,9.386666666666668e-06,120,1447,9.646666666666667e-06
20,96,4,2,81.56565656565657,0.0055828891457623,18,48864.0,39240,1728,0.7746367656348705,3.40625,3.40625,1.152e-05,120,1769,1.1793333333333333e-05
20,12,4,8,81.56565656565657,0.0049086843216023,42,82437.0,59304,840,0.7040805423310261,10.59,7.040805423310261,8.4229e-06,240,899,5.993333333333333e-06
24,80,4,2,82.07070707070707,0.0057828485316262,15,37680.0,30780,1200,0.7797932711795703,3.8475,3.8475,8e-06,120,1242,8.28e-06
24,88,4,2,81.81818181818183,0.0057287457307882,15,39984.0,32700,1320,0.782746074301034,3.715909090909091,3.715909090909091,8.8e-06,120,1362,9.08e-06
24,96,4,2,81.56565656565657,0.004804087906077,21,62240.0,48468,2016,0.7569340329835083,3.60625,3.60625,1.344e-05,120,2064,1.376e-05
24,12,4,8,82.32323232323232,0.0054667210427287,31,58621.0,47740,744,0.7902272689652889,9.625,7.902272689652889,6.0413e-06,240,792,5.28e-06
28,80,4,2,82.07070707070707,0.0053748485878677,16,42208.0,34880,1280,0.7927272727272727,4.0875,4.0875,8.533333333333332e-06,120,1327,8.846666666666666e-06
28,88,4,2,82.82828282828282,0.0036391972382019,28,93888.0,64624,2464,0.6754180602006689,3.934090909090909,3.934090909090909,1.6426666666666666e-05,120,2523,1.682e-05
28,96,4,2,81.56565656565657,0.0039561465111336,25,85408.0,60900,2400,0.698394495412844,3.80625,3.80625,1.6e-05,120,2456,1.6373333333333335e-05
28,12,4,8,81.81818181818183,0.0053602912335416,27,60840.0,45036,756,0.7190573508749522,8.935714285714287,7.190573508749521,6.2632e-06,240,800,5.333333333333334e-06
32,80,4,2,81.81818181818183,0.0050449383515331,17,49328.0,39236,1360,0.767527386541471,4.3275,4.3275,9.066666666666667e-06,120,1412,9.413333333333334e-06
32,88,4,2,81.56565656565657,0.0044231198619819,21,64400.0,51156,1848,0.7728426395939086,4.152272727272728,4.152272727272728,1.2319999999999996e-05,120,1904,1.2693333333333333e-05
32,96,4,2,82.57575757575758,0.0048198672908502,18,57312.0,46152,1728,0.780860855441256,4.00625,4.00625,1.1520000000000002e-05,120,1781,1.1873333333333334e-05
32,12,4,8,81.56565656565657,0.0049760102911532,29,72704.0,52084,928,0.6991516323024055,8.41875,6.991516323024055,7.4496e-06,240,974,6.4933333333333336e-06
8,80,8,2,81.56565656565657,0.0052061253983402,27,66862.0,48492,2160,0.7063244676202406,3.3675,3.3675,1.44e-05,200,2198,1.4653333333333333e-05
8,88,8,2,81.81818181818183,0.0053329432250787,26,66648.0,50024,2288,0.7309175920514319,3.2795454545454543,3.2795454545454543,1.5253333333333334e-05,200,2325,1.55e-05
8,96,8,2,81.56565656565657,0.0052031953035479,27,74130.0,55404,2592,0.7297489528726852,3.20625,3.20625,1.728e-05,200,2630,1.7533333333333334e-05
10,80,8,2,82.07070707070707,0.0056154510763576,19,48030.0,36556,1520,0.7337320862269681,3.6075,3.6075,1.0133333333333333e-05,200,1552,1.0346666666666667e-05
10,88,8,2,82.32323232323232,0.0050777824550876,23,63686.0,47196,2024,0.7207917163016586,3.4977272727272726,3.4977272727272726,1.3493333333333333e-05,200,2060,1.3733333333333333e-05
10,96,8,2,82.07070707070707,0.0049059100850049,24,73116.0,52320,2304,0.6984567736423346,3.40625,3.40625,1.536e-05,200,2341,1.5606666666666667e-05
12,80,8,2,81.81818181818183,0.0050529923194744,21,55350.0,43092,1680,0.7541213118196773,3.8475,3.8475,1.12e-05,200,1716,1.144e-05
12,88,8,2,82.82828282828282,0.005375320773704,18,49878.0,39240,1584,0.7594348751693439,3.715909090909091,3.715909090909091,1.056e-05,200,1617,1.078e-05
12,96,8,2,81.81818181818183,0.0040614565894658,28,93728.0,64624,2688,0.6765494137353434,3.60625,3.60625,1.792e-05,200,2731,1.8206666666666666e-05
14,80,8,2,81.56565656565657,0.0053485804445798,17,44352.0,37060,1360,0.8031380027739251,4.0875,4.0875,9.066666666666666e-06,200,1394,9.293333333333333e-06
14,88,8,2,81.56565656565657,0.0051682466297735,18,49260.0,41544,1584,0.8137585207239677,3.934090909090909,3.934090909090909,1.056e-05,200,1619,1.0793333333333334e-05
14,96,8,2,82.32323232323232,0.0052584315431967,17,49472.0,41412,1632,0.8078183520599251,3.80625,3.80625,1.088e-05,200,1666,1.1106666666666666e-05
16,80,8,2,81.81818181818183,0.0050449383515331,17,49244.0,39236,1360,0.7687906575750451,4.3275,4.3275,9.066666666666667e-06,200,1396,9.306666666666667e-06
16,88,8,2,81.56565656565657,0.0044231198619819,21,64296.0,51156,1848,0.7740588306500423,4.152272727272728,4.152272727272728,1.2319999999999996e-05,200,1888,1.2586666666666666e-05
16,96,8,2,82.57575757575758,0.0048198672908502,18,57224.0,46152,1728,0.7820252135014233,4.00625,4.00625,1.1520000000000002e-05,200,1765,1.1766666666666667e-05
32,14,2,8,81.56565656565657,0.0059819095732006,25,44015.0,35300,800,0.7706245770297117,6.61875,6.61875,5.333333333333333e-06,200,844,5.6266666666666664e-06
32,16,2,8,81.56565656565657,0.0051197072109208,30,63579.0,46200,960,0.7067354025485307,7.21875,7.067354025485307,6.5371e-06,200,1011,6.74e-06
32,18,2,8,81.56565656565657,0.0047203802287509,29,73805.0,48372,928,0.6398666613754515,7.81875,6.398666613754514,7.5597e-06,200,980,6.533333333333333e-06
32,20,2,8,81.56565656565657,0.0046982373794137,28,72101.0,50288,896,0.6805516084067503,8.41875,6.805516084067503,7.3893000000000006e-06,200,949,6.3266666666666665e-06
40,14,2,8,82.07070707070707,0.0051066513224399,31,61258.0,47740,1240,0.7571768437747819,5.775,5.775,8.266666666666667e-06,200,1290,8.6e-06
40,16,2,8,82.32323232323232,0.0054905637538569,22,49246.0,36696,880,0.7189936909753517,6.255,6.255,5.866666666666667e-06,200,923,6.1533333333333334e-06
40,18,2,8,81.56565656565657,0.0055088686001482,20,46577.0,35920,800,0.7426244081953317,6.735,6.735,5.333333333333333e-06,200,843,5.62e-06
40,20,2,8,81.56565656565657,0.0051016694156711,21,54712.0,40404,840,0.7150644202180376,7.215,7.150644202180376,5.6504e-06,200,886,5.906666666666666e-06
48,14,2,8,83.08080808080808,0.0058367432947922,20,44999.0,33360,960,0.7129576200551389,5.2125,5.2125,6.4e-06,200,999,6.66e-06
