NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,Simulated Execution Time (s),Simulated Ncycles
14,22,8,8,81.56565656565657,0.0044992263153168,55,64515.0,126940,1210,1.914428340899151,15.736363636363636,15.736363636363636,8.066666666666667e-06,216,8.56e-06,1284
16,22,8,8,81.56565656565657,0.0048136817891462,40,49480.0,97440,880,1.9004524886877827,16.609090909090913,16.609090909090913,5.866666666666665e-06,216,6.273333333333333e-06,941
16,24,8,8,82.07070707070707,0.0043610904684917,47,61147.0,120508,1128,1.9146792926484373,16.025,16.025,7.520000000000001e-06,216,7.973333333333334e-06,1196
16,6,8,16,82.07070707070707,0.0059970635159807,46,42113.0,82616,736,1.8816991231067077,16.8375,16.8375,4.9066666666666666e-06,256,5.293333333333333e-06,794
16,7,8,16,81.81818181818183,0.0053402006200683,57,55831.5,109668,912,1.9031818615668954,18.0375,18.0375,6.079999999999999e-06,256,6.546666666666667e-06,982
40,9,2,16,81.81818181818183,0.0058263003524124,42,38703.0,75432,1680,1.8627484874675886,6.735,6.735,1.12e-05,136,1.158e-05,1737
40,10,2,16,81.56565656565657,0.0051059632985929,52,51246.0,100048,2080,1.8863456389758286,7.215,7.215,1.3866666666666665e-05,136,1.432e-05,2148
40,11,2,16,81.56565656565657,0.0046417824362702,58,60871.0,119016,2320,1.899302618770247,7.695,7.695,1.5466666666666665e-05,136,1.5966666666666667e-05,2395
48,8,2,16,82.32323232323232,0.0051751130850715,59,54368.5,105964,2832,1.8868065633318791,5.6125,5.6125,1.888e-05,136,1.9366666666666665e-05,2905
48,9,2,16,82.07070707070707,0.0053471131994223,48,47304.0,92352,2304,1.8810493726576503,6.0125,6.0125,1.536e-05,136,1.578e-05,2367
48,10,2,16,81.56565656565657,0.0051399360184327,46,48277.0,94392,2208,1.8852383710479539,6.4125,6.4125,1.472e-05,136,1.5133333333333333e-05,2270
48,11,2,16,81.56565656565657,0.0046959662773403,51,56788.5,111180,2448,1.8979011787198812,6.8125,6.8125,1.632e-05,136,1.6773333333333334e-05,2516
56,8,2,16,81.56565656565657,0.0056881578884244,42,41391.0,80808,2352,1.8712919435889124,5.1535714285714285,5.1535714285714285,1.568e-05,136,1.6053333333333334e-05,2408
56,9,2,16,81.81818181818183,0.0052857992454413,45,47227.5,92340,2520,1.8837401442283173,5.496428571428572,5.496428571428572,1.68e-05,136,1.72e-05,2580
56,10,2,16,81.56565656565657,0.0044206234578412,61,67923.5,132980,3416,1.9074667756811612,5.839285714285714,5.839285714285714,2.277333333333333e-05,136,2.3286666666666665e-05,3493
56,11,2,16,81.81818181818183,0.0045464361210905,49,57697.5,113092,2744,1.9010413602400424,6.182142857142857,6.182142857142857,1.8293333333333333e-05,136,1.8733333333333332e-05,2810
64,8,2,16,81.56565656565657,0.005700440754031,40,41980.0,82080,2560,1.8751713424106735,4.809375,4.809375,1.7066666666666664e-05,136,1.7426666666666667e-05,2614
64,9,2,16,82.07070707070707,0.0054557060193381,41,45653.5,89380,2624,1.8838456755645951,5.109375,5.109375,1.749333333333333e-05,136,1.7866666666666666e-05,2680
64,10,2,16,81.56565656565657,0.0048655681942473,48,56520.0,110784,3072,1.8998490876663465,5.409375,5.409375,2.048e-05,136,2.0906666666666668e-05,3136
64,11,2,16,81.81818181818183,0.0047964576389703,42,52143.0,102312,2688,1.8969500324464634,5.709375,5.709375,1.792e-05,136,1.8313333333333333e-05,2747
20,9,4,16,82.32323232323232,0.0056535134075664,53,48627.5,95188,1060,1.887920348277948,13.47,13.47,7.066666666666666e-06,176,7.52e-06,1128
20,10,4,16,82.32323232323232,0.0051657838842151,60,58890.0,115440,1200,1.9023763224679477,14.43,14.43,8e-06,176,8.506666666666666e-06,1276
24,9,4,16,81.56565656565657,0.0050691541244001,60,58890.0,115440,1440,1.9023763224679477,12.025,12.025,9.6e-06,176,1.01e-05,1515
24,10,4,16,81.81818181818183,0.0050816765620671,52,54366.0,106704,1248,1.9000676662274298,12.825,12.825,8.32e-06,176,8.773333333333333e-06,1316
24,11,4,16,82.32323232323232,0.005274241750497,41,45489.5,89380,984,1.8903799583346552,13.625,13.625,6.56e-06,176,6.9466666666666665e-06,1042
28,9,4,16,81.81818181818183,0.0047872227532933,60,62730.0,123120,1680,1.908186355041691,10.992857142857144,10.992857142857144,1.1199999999999998e-05,176,1.17e-05,1755
28,10,4,16,81.56565656565657,0.0045232866107058,60,66570.0,130800,1680,1.9133436704601972,11.678571428571429,11.678571428571429,1.12e-05,176,1.1706666666666666e-05,1756
28,11,4,16,82.57575757575758,0.0048860062179431,45,52807.5,103860,1260,1.902215221751115,12.364285714285714,12.364285714285714,8.4e-06,176,8.813333333333333e-06,1322
32,8,4,16,81.56565656565657,0.005700440754031,40,41820.0,82080,1280,1.8820508117032009,9.61875,9.61875,8.533333333333332e-06,176,8.893333333333333e-06,1334
32,9,4,16,82.07070707070707,0.0054557060193381,41,45489.5,89380,1312,1.8903799583346552,10.21875,10.21875,8.746666666666665e-06,176,9.12e-06,1368
32,10,4,16,81.56565656565657,0.0048655681942473,48,56328.0,110784,1536,1.9061252580867172,10.81875,10.81875,1.024e-05,176,1.0666666666666667e-05,1600
32,11,4,16,81.81818181818183,0.0047964576389703,42,51975.0,102312,1344,1.9028772295274052,11.41875,11.41875,8.96e-06,176,9.353333333333334e-06,1403
14,10,8,16,82.07070707070707,0.0059577770972663,32,35440.0,69760,448,1.8736570691877954,23.357142857142858,18.736570691877954,3.7231999999999998e-06,256,3.3066666666666666e-06,496
14,11,8,16,81.56565656565657,0.0052850865058151,39,45688.5,90012,546,1.895767736228557,24.728571428571428,18.95767736228557,4.74805e-06,256,4.013333333333334e-06,602
16,8,8,16,81.56565656565657,0.005700440754031,40,41740.0,82080,640,1.8855095102453368,19.2375,18.85509510245337,4.3532e-06,256,4.626666666666667e-06,694
16,9,8,16,82.07070707070707,0.0054557060193381,41,45407.5,89380,656,1.893664127797964,20.4375,18.93664127797964,4.71995e-06,256,4.746666666666666e-06,712
16,10,8,16,81.56565656565657,0.0048655681942473,48,56232.0,110784,768,1.909278919067972,21.6375,19.09278919067972,5.8024e-06,256,5.546666666666666e-06,832
16,11,8,16,81.81818181818183,0.0047964576389703,42,51891.0,102312,672,1.905854739861781,22.8375,19.05854739861781,5.3683e-06,256,4.873333333333333e-06,731
32,5,2,32,81.81818181818183,0.0057275297600195,47,43275.25,84412,1504,1.8730230932661744,8.41875,8.41875,1.0026666666666668e-05,216,1.042e-05,1563
40,5,2,32,81.56565656565657,0.0050891351590849,55,54161.25,105820,2200,1.8912216895354603,7.215,7.215,1.4666666666666666e-05,216,1.5113333333333333e-05,2267
